carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-01,13,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-01,13,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-01,13,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-02,14,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-02,14,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-02,14,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-03,15,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-03,15,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-03,15,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-04,16,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-04,16,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-04,16,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-05,17,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-05,17,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-05,17,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-05,17,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-06,18,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-06,18,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-06,18,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-06,18,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-07,19,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-07,19,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-07,19,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-07,19,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-08,20,271
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-08,20,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-08,20,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-08,20,Price unavailable
