carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-01,12.0,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-01,12.0,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-01,12.0,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-02,13.0,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-02,13.0,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-02,13.0,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-03,14.0,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-03,14.0,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-03,14.0,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-04,15.0,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-04,15.0,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-04,15.0,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-05,16.0,302
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-05,16.0,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-05,16.0,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-05,16.0,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-06,17.0,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-06,17.0,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-06,17.0,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-06,17.0,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-07,18.0,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-07,18.0,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-07,18.0,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-07,18.0,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-08,19.0,271
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-08,19.0,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-08,19.0,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-08,19.0,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-09,20.0,271
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-09,20.0,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-09,20.0,"1,012"
