carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-18,32,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-18,32,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-18,32,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-19,33,373
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-19,33,438
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-19,33,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-19,33,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-19,33,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-20,34,373
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-20,34,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-20,34,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-20,34,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-21,35,373
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-21,35,438
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-21,35,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-21,35,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-21,35,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-22,36,383
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-22,36,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-22,36,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-22,36,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-23,37,383
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-23,37,448
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-23,37,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-23,37,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-23,37,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-24,38,383
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-24,38,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-24,38,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-24,38,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-25,39,373
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-25,39,438
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-25,39,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-25,39,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-25,39,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-26,40,373
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-26,40,438
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-26,40,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-26,40,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-26,40,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-27,41,373
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-27,41,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-27,41,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-27,41,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-28,42,373
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-28,42,513
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-28,42,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-28,42,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-28,42,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-29,43,383
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-29,43,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-29,43,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-29,43,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-30,44,487
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-30,44,523
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-30,44,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-30,44,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-30,44,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-31,45,487
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-31,45,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-31,45,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-31,45,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-01,46,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-01,46,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-01,46,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-01,46,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-01,46,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-02,47,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-02,47,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-02,47,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-02,47,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-02,47,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-03,48,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-03,48,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-03,48,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-03,48,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-03,48,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-04,49,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-04,49,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-04,49,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-04,49,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-04,49,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-05,50,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-05,50,526
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-05,50,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-05,50,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-05,50,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-06,51,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-06,51,487
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-06,51,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-06,51,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-06,51,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-07,52,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-07,52,487
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-07,52,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-07,52,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-07,52,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-08,53,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-08,53,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-08,53,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-08,53,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-08,53,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-09,54,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-09,54,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-09,54,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-09,54,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-09,54,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-10,55,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-10,55,418
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-10,55,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-10,55,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-10,55,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-11,56,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-11,56,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-11,56,582
