carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-01,11,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-01,11,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-01,11,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-02,12,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-02,12,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-02,12,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-03,13,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-03,13,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-03,13,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-04,14,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-04,14,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-04,14,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-05,15,532
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-05,15,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-05,15,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-05,15,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-06,16,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-06,16,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-06,16,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-06,16,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-07,17,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-07,17,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-07,17,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-07,17,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-08,18,271
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-08,18,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-08,18,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-08,18,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-09,19,271
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-09,19,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-09,19,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-09,19,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-10,20,271
