carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-01,16,221
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-01,16,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-01,16,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-02,17,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-02,17,271
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-02,17,443
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-02,17,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-02,17,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-03,18,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-03,18,271
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-03,18,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-03,18,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-04,19,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-04,19,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-04,19,358
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-04,19,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-04,19,"1,065"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-05,20,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-05,20,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-05,20,433
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-05,20,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-05,20,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-06,21,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-06,21,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-06,21,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-06,21,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-07,22,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-07,22,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-07,22,358
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-07,22,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-07,22,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-08,23,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-08,23,271
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-08,23,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-08,23,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-09,24,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-09,24,271
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-09,24,368
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-09,24,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-09,24,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-10,25,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-10,25,271
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-10,25,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-10,25,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-11,26,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-11,26,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-11,26,358
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-11,26,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-11,26,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-12,27,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-12,27,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-12,27,358
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-12,27,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-12,27,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-13,28,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-13,28,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-13,28,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-13,28,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-14,29,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-14,29,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-14,29,358
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-14,29,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-14,29,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-15,30,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-15,30,383
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-15,30,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-15,30,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-16,31,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-16,31,383
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-16,31,448
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-16,31,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-16,31,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-17,32,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-17,32,383
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-17,32,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-17,32,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-18,33,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-18,33,373
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-18,33,513
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-18,33,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-18,33,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-19,34,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-19,34,373
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-19,34,438
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-19,34,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-19,34,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-20,35,221
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-20,35,373
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-20,35,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-20,35,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-21,36,221
