carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-01,14,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-01,14,972
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-01,14,Price unavailable
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-02,15,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-02,15,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-02,15,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-02,15,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-03,16,182
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-03,16,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-03,16,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-03,16,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-03,16,Price unavailable
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-04,17,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-04,17,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-04,17,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-05,18,218
Air India,09:00,Non-stop,SIN,MAA,one-way,2020-05-05,18,338
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-05,18,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-05,18,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-05,18,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-06,19,182
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-06,19,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-06,19,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-06,19,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-07,20,162
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-07,20,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-07,20,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-07,20,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-08,21,134
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-08,21,150
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-08,21,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-08,21,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-08,21,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-08,21,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-09,22,126
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-09,22,150
Air India,09:00,Non-stop,SIN,MAA,one-way,2020-05-09,22,303
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-09,22,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-09,22,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-09,22,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-09,22,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-10,23,134
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-10,23,168
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-10,23,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-10,23,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-10,23,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-10,23,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-11,24,134
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-11,24,150
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-11,24,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-11,24,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-11,24,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-12,25,143
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-12,25,150
Air India,09:00,Non-stop,SIN,MAA,one-way,2020-05-12,25,293
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-12,25,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-12,25,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-12,25,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-13,26,134
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-13,26,150
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-13,26,179
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-13,26,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-13,26,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-14,27,143
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-14,27,150
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-14,27,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-14,27,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-14,27,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-15,28,143
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-15,28,150
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-15,28,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-15,28,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-15,28,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-15,28,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-16,29,143
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-16,29,150
Air India,09:00,Non-stop,SIN,MAA,one-way,2020-05-16,29,303
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-16,29,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-16,29,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-16,29,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-16,29,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-17,30,150
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-17,30,172
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-17,30,179
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-17,30,179
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-17,30,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-17,30,972
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-18,31,150
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-18,31,179
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-18,31,201
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-18,31,182
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-18,31,972
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-19,32,150
Air India,09:00,Non-stop,SIN,MAA,one-way,2020-05-19,32,293
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-19,32,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-19,32,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-19,32,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-20,33,150
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-20,33,972
Singapore Airlines,22:50,Non-stop,SIN,MAA,one-way,2020-05-20,33,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-20,33,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-20,33,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-21,34,168
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-21,34,972
Singapore Airlines,22:50,Non-stop,SIN,MAA,one-way,2020-05-21,34,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-21,34,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-21,34,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-22,35,150
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-22,35,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-22,35,972
Singapore Airlines,22:50,Non-stop,SIN,MAA,one-way,2020-05-22,35,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-22,35,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-22,35,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-23,36,218
Air India,09:00,Non-stop,SIN,MAA,one-way,2020-05-23,36,303
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-23,36,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-23,36,972
Singapore Airlines,22:50,Non-stop,SIN,MAA,one-way,2020-05-23,36,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-23,36,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-23,36,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-24,37,168
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-24,37,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-24,37,972
Singapore Airlines,22:50,Non-stop,SIN,MAA,one-way,2020-05-24,37,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-24,37,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-24,37,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-25,38,168
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-25,38,972
Singapore Airlines,22:50,Non-stop,SIN,MAA,one-way,2020-05-25,38,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-25,38,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-25,38,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-26,39,168
Air India,09:00,Non-stop,SIN,MAA,one-way,2020-05-26,39,293
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-26,39,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-26,39,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-26,39,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-27,40,168
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-27,40,972
