carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-01,11,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-01,11,972
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-01,11,Price unavailable
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-02,12,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-02,12,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-02,12,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-02,12,Price unavailable
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-03,13,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-03,13,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-03,13,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-03,13,Price unavailable
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-04,14,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-04,14,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-04,14,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-05,15,313
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-05,15,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-05,15,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-05,15,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-06,16,218
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-06,16,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-06,16,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-06,16,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-07,17,218
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-07,17,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-07,17,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-07,17,Price unavailable
