carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-01,15,134
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-01,15,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-01,15,972
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-01,15,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-02,16,126
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-02,16,218
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-02,16,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-02,16,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-02,16,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-02,16,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-03,17,126
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-03,17,168
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-03,17,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-03,17,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-03,17,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-03,17,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-04,18,126
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-04,18,168
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-04,18,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-04,18,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-04,18,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-05,19,134
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-05,19,168
Air India,09:00,Non-stop,SIN,MAA,one-way,2020-05-05,19,293
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-05,19,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-05,19,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-05,19,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-06,20,156
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-06,20,168
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-06,20,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-06,20,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-06,20,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-07,21,126
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-07,21,150
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-07,21,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-07,21,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-07,21,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-08,22,134
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-08,22,150
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-08,22,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-08,22,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-08,22,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-08,22,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-09,23,126
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-09,23,150
Air India,09:00,Non-stop,SIN,MAA,one-way,2020-05-09,23,303
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-09,23,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-09,23,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-09,23,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-09,23,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-10,24,134
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-10,24,150
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-10,24,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-10,24,972
