carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
IndiGo,11:30,Non-stop,SIN,MAA,one-way,1/5/20,18,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,1/5/20,18,144
Silkair,7:40,Non-stop,SIN,MAA,one-way,1/5/20,18,981
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,1/5/20,18,981
Scoot,22:50,Non-stop,SIN,MAA,one-way,2/5/20,19,136
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2/5/20,19,139
IndiGo,5:30,Non-stop,SIN,MAA,one-way,2/5/20,19,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,2/5/20,19,192
Air India,9:00,Non-stop,SIN,MAA,one-way,2/5/20,19,314
Silkair,7:40,Non-stop,SIN,MAA,one-way,2/5/20,19,981
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2/5/20,19,981
Scoot,22:50,Non-stop,SIN,MAA,one-way,3/5/20,20,136
IndiGo,11:30,Non-stop,SIN,MAA,one-way,3/5/20,20,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,3/5/20,20,174
IndiGo,5:30,Non-stop,SIN,MAA,one-way,3/5/20,20,139
Silkair,7:40,Non-stop,SIN,MAA,one-way,3/5/20,20,981
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,3/5/20,20,981
Scoot,22:50,Non-stop,SIN,MAA,one-way,4/5/20,21,136
IndiGo,11:30,Non-stop,SIN,MAA,one-way,4/5/20,21,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,4/5/20,21,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,4/5/20,21,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,4/5/20,21,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,5/5/20,22,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,5/5/20,22,144
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,5/5/20,22,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,5/5/20,22,139
Air India,9:00,Non-stop,SIN,MAA,one-way,5/5/20,22,304
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,5/5/20,22,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,6/5/20,23,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,6/5/20,23,161
Scoot,22:50,Non-stop,SIN,MAA,one-way,6/5/20,23,166
IndiGo,5:30,Non-stop,SIN,MAA,one-way,6/5/20,23,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,6/5/20,23,981
Scoot,22:50,Non-stop,SIN,MAA,one-way,7/5/20,24,136
IndiGo,11:30,Non-stop,SIN,MAA,one-way,7/5/20,24,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,7/5/20,24,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,7/5/20,24,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,7/5/20,24,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,8/5/20,25,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,8/5/20,25,144
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,8/5/20,25,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,8/5/20,25,139
Silkair,7:40,Non-stop,SIN,MAA,one-way,8/5/20,25,981
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,8/5/20,25,981
Scoot,22:50,Non-stop,SIN,MAA,one-way,9/5/20,26,136
IndiGo,11:30,Non-stop,SIN,MAA,one-way,9/5/20,26,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,9/5/20,26,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,9/5/20,26,139
Air India,9:00,Non-stop,SIN,MAA,one-way,9/5/20,26,314
Silkair,7:40,Non-stop,SIN,MAA,one-way,9/5/20,26,981
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,9/5/20,26,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,10/5/20,27,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,10/5/20,27,144
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,10/5/20,27,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,10/5/20,27,139
Silkair,7:40,Non-stop,SIN,MAA,one-way,10/5/20,27,981
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,10/5/20,27,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,11/5/20,28,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,11/5/20,28,144
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,11/5/20,28,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,11/5/20,28,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,11/5/20,28,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,12/5/20,29,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,12/5/20,29,153
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,12/5/20,29,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,12/5/20,29,139
Air India,9:00,Non-stop,SIN,MAA,one-way,12/5/20,29,304
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,12/5/20,29,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,13/5/20,30,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,13/5/20,30,144
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,13/5/20,30,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,13/5/20,30,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,13/5/20,30,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,14/5/20,31,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,14/5/20,31,153
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,14/5/20,31,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,14/5/20,31,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,14/5/20,31,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,15/5/20,32,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,15/5/20,32,153
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,15/5/20,32,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,15/5/20,32,139
Silkair,7:40,Non-stop,SIN,MAA,one-way,15/5/20,32,981
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,15/5/20,32,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,16/5/20,33,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,16/5/20,33,153
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,16/5/20,33,161
IndiGo,5:30,Non-stop,SIN,MAA,one-way,16/5/20,33,139
Air India,9:00,Non-stop,SIN,MAA,one-way,16/5/20,33,279
Silkair,7:40,Non-stop,SIN,MAA,one-way,16/5/20,33,981
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,16/5/20,33,981
IndiGo,11:30,Non-stop,SIN,MAA,one-way,17/5/20,34,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,17/5/20,34,161
Scoot,22:50,Non-stop,SIN,MAA,one-way,17/5/20,34,182
