carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Scoot,22:50,Non-stop,SIN,MAA,one-way,1/5/20,16,134
IndiGo,11:30,Non-stop,SIN,MAA,one-way,1/5/20,16,139
Silkair,7:40,Non-stop,SIN,MAA,one-way,1/5/20,16,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,1/5/20,16,972
Scoot,22:50,Non-stop,SIN,MAA,one-way,2/5/20,17,126
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2/5/20,17,139
IndiGo,5:30,Non-stop,SIN,MAA,one-way,2/5/20,17,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,2/5/20,17,248
Air India,9:00,Non-stop,SIN,MAA,one-way,2/5/20,17,303
Silkair,7:40,Non-stop,SIN,MAA,one-way,2/5/20,17,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2/5/20,17,972
Scoot,22:50,Non-stop,SIN,MAA,one-way,3/5/20,18,126
IndiGo,11:30,Non-stop,SIN,MAA,one-way,3/5/20,18,139
IndiGo,5:30,Non-stop,SIN,MAA,one-way,3/5/20,18,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,3/5/20,18,188
Silkair,7:40,Non-stop,SIN,MAA,one-way,3/5/20,18,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,3/5/20,18,972
Scoot,22:50,Non-stop,SIN,MAA,one-way,4/5/20,19,126
IndiGo,11:30,Non-stop,SIN,MAA,one-way,4/5/20,19,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,4/5/20,19,150
IndiGo,5:30,Non-stop,SIN,MAA,one-way,4/5/20,19,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,4/5/20,19,972
Scoot,22:50,Non-stop,SIN,MAA,one-way,5/5/20,20,134
IndiGo,11:30,Non-stop,SIN,MAA,one-way,5/5/20,20,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,5/5/20,20,150
IndiGo,5:30,Non-stop,SIN,MAA,one-way,5/5/20,20,139
Air India,9:00,Non-stop,SIN,MAA,one-way,5/5/20,20,293
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,5/5/20,20,972
IndiGo,11:30,Non-stop,SIN,MAA,one-way,6/5/20,21,139
