carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-01,12,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-01,12,972
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-01,12,Price unavailable
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-02,13,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-02,13,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-02,13,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-02,13,Price unavailable
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-03,14,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-03,14,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-03,14,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-03,14,Price unavailable
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-04,15,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-04,15,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-04,15,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-05,16,313
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-05,16,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-05,16,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-05,16,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-06,17,218
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-06,17,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-06,17,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-06,17,Price unavailable
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-07,18,218
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-07,18,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-07,18,Price unavailable
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2020-05-07,18,Price unavailable
Scoot,22:50,Non-stop,SIN,MAA,one-way,2020-05-08,19,134
Air-India Express,00:10,Non-stop,SIN,MAA,one-way,2020-05-08,19,150
Silkair,07:40,Non-stop,SIN,MAA,one-way,2020-05-08,19,972
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2020-05-08,19,972
IndiGo,05:30,Non-stop,SIN,MAA,one-way,2020-05-08,19,Price unavailable
