carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-01,11,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-01,11,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-01,11,"1,002"
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-02,12,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-02,12,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-02,12,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-02,12,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-03,13,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-03,13,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-03,13,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-03,13,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-04,14,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-04,14,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-04,14,Price unavailable
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-05,15,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-05,15,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-06,16,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-06,16,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-06,16,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-07,17,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-07,17,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-07,17,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-08,18,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-08,18,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-08,18,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-08,18,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-09,19,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-09,19,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-09,19,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-09,19,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-10,20,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-10,20,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-10,20,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-10,20,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-11,21,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-11,21,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-11,21,Price unavailable
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-12,22,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-12,22,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-13,23,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-13,23,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-13,23,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-14,24,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-14,24,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-14,24,Price unavailable
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,2020-05-15,25,161
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-15,25,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-15,25,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-15,25,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-15,25,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-16,26,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-16,26,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-16,26,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-16,26,Price unavailable
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,2020-05-17,27,161
