carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-01,14,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-01,14,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-01,14,"1,002"
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-02,15,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-02,15,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-02,15,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-02,15,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-03,16,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-03,16,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-03,16,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-03,16,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-04,17,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-04,17,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-04,17,Price unavailable
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-05,18,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-05,18,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-06,19,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-06,19,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-06,19,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-07,20,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-07,20,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-07,20,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-08,21,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-08,21,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-08,21,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-08,21,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-09,22,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-09,22,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-09,22,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-09,22,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-10,23,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-10,23,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-10,23,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-10,23,Price unavailable
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-11,24,196
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-11,24,"1,002"
