carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-01,15,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-01,15,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-01,15,"1,002"
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-02,16,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-02,16,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-02,16,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-02,16,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-03,17,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-03,17,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-03,17,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-03,17,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-04,18,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-04,18,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-04,18,Price unavailable
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-05,19,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-05,19,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-06,20,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-06,20,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-06,20,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-07,21,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-07,21,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-07,21,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-08,22,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-08,22,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-08,22,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-08,22,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-09,23,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-09,23,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-09,23,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-09,23,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-10,24,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-10,24,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-10,24,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-10,24,Price unavailable
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-11,25,198
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-11,25,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-11,25,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-12,26,193
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-12,26,"1,002"
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-13,27,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-13,27,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-13,27,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-14,28,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-14,28,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-14,28,Price unavailable
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,2020-05-15,29,161
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-15,29,193
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-15,29,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-15,29,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-15,29,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-16,30,193
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-16,30,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-16,30,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-16,30,"1,002"
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,2020-05-17,31,161
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-17,31,193
