carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-01,13,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-01,13,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-01,13,"1,002"
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-02,14,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-02,14,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-02,14,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-02,14,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-03,15,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-03,15,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-03,15,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-03,15,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-04,16,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-04,16,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-04,16,Price unavailable
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-05,17,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-05,17,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-06,18,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-06,18,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-06,18,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-07,19,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-07,19,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-07,19,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-08,20,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-08,20,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-08,20,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-08,20,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-09,21,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-09,21,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-09,21,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-09,21,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-10,22,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-10,22,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-10,22,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-10,22,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-11,23,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-11,23,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-11,23,Price unavailable
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-12,24,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-12,24,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-13,25,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-13,25,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-13,25,Price unavailable
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-14,26,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-14,26,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-14,26,Price unavailable
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,2020-05-15,27,161
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-15,27,191
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-15,27,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-15,27,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-15,27,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-16,28,191
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-16,28,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-16,28,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-16,28,"1,002"
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,2020-05-17,29,161
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-17,29,192
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-17,29,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-17,29,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-17,29,"1,002"
