carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-01,16,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-01,16,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-01,16,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-02,17,184
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-02,17,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-02,17,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-02,17,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-03,18,184
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-03,18,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-03,18,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-03,18,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-04,19,184
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-04,19,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-04,19,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-05,20,184
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-05,20,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-06,21,184
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-06,21,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-06,21,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-07,22,184
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-07,22,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-07,22,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-08,23,184
Silkair,09:05,Non-stop,SIN,BLR,one-way,2020-05-08,23,"1,002"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2020-05-08,23,"1,002"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2020-05-08,23,"1,002"
IndiGo,02:45,Non-stop,SIN,BLR,one-way,2020-05-09,24,184
